,title,link,price,location,km_driven,description and feautures,dealer info
0,,,,,,,
1,"Used 2022 Hyundai Tucson Hybrid Ultimate  - Cooled Seats for sale in Abbotsford, BC",https://www.carpages.ca//used-cars/british-columbia/abbotsford/2022-hyundai-tucson-hybrid-9321124/,"$58,999","Abbotsford, BC","19,232KM","2022 Hyundai Tucson Hybrid 
Ultimate  - Cooled Seats","Abbotsford Hyundai
A"
2,"New 2023 Mercedes-Benz E-Class EQS 580 4MATIC for sale in Vancouver, BC",https://www.carpages.ca//new-cars/british-columbia/vancouver/2023-mercedes-benz-e-class-9321058/,"$206,062","Vancouver, BC",90KM,"2023 Mercedes-Benz E-Class 
EQS 580 4MATIC",Mercedes-Benz Vancou
3,"New 2022 Jeep Grand Cherokee 4xe Overland  - Leather Seats for sale in Bracebridge, ON",https://www.carpages.ca//new-cars/ontario/bracebridge/2022-jeep-grand-cherokee-9321004/,"$92,435","Bracebridge, ON",26KM,"2022 Jeep Grand Cherokee 
4xe Overland  - Leather Seats","Muskoka Chrysler
Bra"
4,"New 2023 Jeep Wrangler 4xe HIGH ALTITUDE for sale in Listowel, ON",https://www.carpages.ca//new-cars/ontario/listowel/2023-jeep-wrangler-9319885/,"$70,545","Listowel, ON",1KM,"2023 Jeep Wrangler 
4xe HIGH ALTITUDE","Listowel Chrysler
Li"
5,"New 2023 Porsche Cayenne  for sale in Edmonton, AB",https://www.carpages.ca//new-cars/alberta/edmonton/2023-porsche-cayenne-9319822/,"$148,310","Edmonton, AB",2KM,2023 Porsche Cayenne,Porsche Centre Edmon
6,"Used 2019 Nissan Leaf SV for sale in London, ON",https://www.carpages.ca//used-cars/ontario/london/2019-nissan-leaf-9319681/,"$38,999","London, ON","97,982KM","2019 Nissan Leaf 
SV","Empire Auto Group
Lo"
7,"Used 2021 Lexus NX 300h Executive Leather | Moonroof | BLIS for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2021-lexus-nx-300h-9319309/,"$52,000","Winnipeg, MB","24,800KM","2021 Lexus NX 300h 
Executive Leather | Moonroof | BLIS","Birchwood Lexus
Winn"
8,"Used 2019 Lexus ES ES 300h ~ HYBRID ~ NAVIGATION ~ BACK-UP CAMERA !!! for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2019-lexus-es-9317977/,"$39,888","Burlington, ON","72,500KM","2019 Lexus ES 
ES 300h ~ HYBRID ~ NAVIGATION ~ BACK-UP CAMERA !!!",Elite Luxury Motors 
9,"Used 2018 Porsche Cayenne S E-Hybrid Platinum Edition - Low Kms - NAVIGATION for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2018-porsche-cayenne-9317968/,"$65,888","Burlington, ON","57,800KM","2018 Porsche Cayenne 
S E-Hybrid Platinum Edition - Low Kms - NAVIGATION",Elite Luxury Motors 
10,"New 2022 Jeep Grand Cherokee 4xe Overland for sale in Saskatoon, SK",https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-jeep-grand-cherokee-9317755/,"$84,285","Saskatoon, SK",CALL,"2022 Jeep Grand Cherokee 
4xe Overland",Auto Clearing Chrysl
11,"New 2022 Jeep Grand Cherokee 4xe for sale in Saskatoon, SK",https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-jeep-grand-cherokee-9317737/,"$82,275","Saskatoon, SK",CALL,"2022 Jeep Grand Cherokee 
4xe",Auto Clearing Chrysl
12,New 2022 RAM 1500 SPORT 4X4 CREW CAB 5'7,https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-ram-1500-9317695/,"$74,575","Saskatoon, SK",10KM,"2022 RAM 1500 
SPORT 4X4 CREW CAB 5'7"" BOX","Dodge City Auto
Sask"
13,"New 2023 Audi Q5 Technik for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-audi-q5-9317683/,"$88,494","Winnipeg, MB",90KM,"2023 Audi Q5 
Technik","Audi Winnipeg
Winnip"
