,link,title,discounted price,max price
0,,,,
1,https://www.nike.com/in/t/air-max-90-shoes-kRsBnD/DM0029-004,Nike Air Max 90,₹ 10 257,MRP : ₹ 10 795
2,https://www.nike.com/in/t/pegasus-turbo-next-nature-road-running-shoes-wq9drv/DM3414-002,Nike Pegasus Turbo Next Nature,₹ 13 297,MRP : ₹ 13 995
3,https://www.nike.com/in/t/air-jordan-1-elevate-low-shoes-XlkVrM/DH7004-141,Air Jordan 1 Elevate Low,₹ 11 297,MRP : ₹ 11 895
4,https://www.nike.com/in/t/dri-fit-swoosh-short-sleeve-running-top-jtW23k/DQ6372-530,Nike Dri-FIT Swoosh,₹ 2 087,MRP : ₹ 2 195
5,https://www.nike.com/in/t/dri-fit-swoosh-run-running-shorts-65klmb/DQ6361-425,Nike Dri-FIT Swoosh Run,₹ 1 987,MRP : ₹ 2 095
6,https://www.nike.com/in/t/air-jordan-1-mid-shoes-86f1ZW/BQ6472-117,Air Jordan 1 Mid,₹ 9 777,MRP : ₹ 10 295
7,https://www.nike.com/in/t/sb-blazer-court-mid-prm-skate-shoes-wMFsMv/DQ5132-444,Nike SB Blazer Court Mid PRM,₹ 7 117,MRP : ₹ 7 495
8,https://www.nike.com/in/t/fontanka-waffle-shoes-V8djsD/DX3284-126,Nike Fontanka Waffle,₹ 9 207,MRP : ₹ 9 695
9,https://www.nike.com/in/t/dunk-high-shoes-n3vgBk/DD1869-400,Nike Dunk High,₹ 8 827,MRP : ₹ 9 295
10,https://www.nike.com/in/t/offcourt-slides-kJDhS7/BQ4632-106,Nike Offcourt,₹ 2 367,MRP : ₹ 2 495
11,https://www.nike.com/in/t/nikecourt-react-vapor-nxt-hard-court-tennis-shoes-qXfkpM/CV0742-402,NikeCourt React Vapor NXT,₹ 13 767,MRP : ₹ 14 495
12,https://www.nike.com/in/t/nikecourt-zoom-nxt-hard-court-tennis-shoes-6xrnQj/DH0222-102,NikeCourt Zoom NXT,₹ 12 347,MRP : ₹ 12 995
13,https://www.nike.com/in/t/sportswear-older-shorts-p61K6k/DV2566-633,Nike Sportswear,₹ 1 797,MRP : ₹ 1 895
14,https://www.nike.com/in/t/victori-one-slides-ZrXwcX/DR9880-001,Nike Victori One,₹ 1 987,MRP : ₹ 2 095
15,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-CVQmnL/DM3381-600,Air Jordan 1 Mid SE,₹ 11 297,MRP : ₹ 11 895
16,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-hHltxp/DN4904-001,Air Jordan 1 Mid SE,₹ 9 777,MRP : ₹ 10 295
17,https://www.nike.com/in/t/zoomx-streakfly-road-racing-shoes-H9cRPz/DV1034-010,Nike ZoomX Streakfly,₹ 14 247,MRP : ₹ 14 995
18,https://www.nike.com/in/t/liverpool-fc-2021-22-stadium-home-football-shirt-gcNpBV/DB2560-688,Liverpool F.C. 2021/22 Stadium Home,₹ 4 457,MRP : ₹ 4 695
19,https://www.nike.com/in/t/lebron-19-basketball-shoes-t8kzPM/DH8459-900,LeBron 19,₹ 17 757,MRP : ₹ 18 695
20,https://www.nike.com/in/t/jordan-air-200e-shoes-j54hgQ/DH7381-146,Jordan Air 200E,₹ 11 397,MRP : ₹ 11 995
21,https://www.nike.com/in/t/waffle-debut-shoes-JG8KbZ/DX2940-100,Nike Waffle Debut,₹ 5 977,MRP : ₹ 6 295
