,Product Name,Link,Price,Rating,Description
0,,,,,
1,"APPLE iPhone 13 (Starlight, 128 GB)",https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXQGX7PK&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹65,999",4.7,128 GB ROM
2,"APPLE iPhone 13 (Midnight, 128 GB)",https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹65,999",4.7,128 GB ROM
3,"APPLE iPhone 13 (Green, 128 GB)",https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZ0Q1T8E&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹65,999",4.7,128 GB ROM
4,Good One AIR,https://www.flipkart.com/good-one-air/p/itm1d72c49b83c4c?pid=MOBGEBHV2RZTXCRR&lid=LSTMOBGEBHV2RZTXCRRWP36KJ&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_0NM0Or5pQL46G7tPyaWHuXaVBLYjNV%2Fwt55UjDX7PzmMag4RC6MuHLc1jeZAsuhOJSnlNX3%2BqaPplRxhh98crg%3D%3D&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹1,099",3.9,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
5,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGL5FN51&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹65,999",4.7,128 GB ROM
6,"POCO C31 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹9,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
7,"vivo T1 5G (Starlight Black, 128 GB)",https://www.flipkart.com/vivo-t1-5g-starlight-black-128-gb/p/itm594222523bd8f?pid=MOBGB9TYF7P7RNYX&lid=LSTMOBGB9TYF7P7RNYX5GJVDV&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGB9TYF7P7RNYX.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹16,990",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
8,"vivo T1 5G (Rainbow Fantasy, 128 GB)",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHWMF5TV&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹15,990",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
9,"POCO C31 (Shadow Gray, 64 GB)",https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=mobiles+&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=20a98e44-e788-4a38-a968-38a64f61befa.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=hud5q2jyvk0000001669314509841&qH=7d0872c8342d99e3,"₹9,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
